25.5	1424
25.5	1768
25.5	1795
25.5	1849
25.5	2027
25.5	2030
25.5	2094
25.5	2115
25.5	2198
25.5	2473
25.5	2581
25.5	2627
25.5	2664
25.5	3077
25.5	3200
25.5	4081
25.5	4123
25.5	4624
25.5	4633
25.5	4854
25.5	4942
25.5	5067
25.5	5219
25.5	5598
25.5	5680
25.5	5735
25.5	5831
25.5	6239
25.5	6475
25.5	6559
25.5	6992
25.5	7500
25.5	7516
25.5	7593
25.5	7734
25.5	7967
25.5	7986
25.5	8077
25.5	8317
25.5	9024
25.5	9695
25.5	10183
25.5	10314
25.5	11644
25.5	11717
25.5	11807
25.5	12034
25.5	13206
25.5	13251
25.5	13424
25.5	13904
25.5	14121
25.5	14187
25.5	14273
25.5	14413
25.5	15115
25.5	15199
25.5	15200
25.5	15779
25.6	64
25.6	155
25.6	269
25.6	368
25.6	502
25.6	1236
25.6	2064
25.6	2227
25.6	2840
25.6	3129
25.6	3568
25.6	3831
25.6	3947
25.6	3954
25.6	4550
25.6	4695
25.6	5091
25.6	5449
25.6	5505
25.6	5810
25.6	5890
25.6	5928
25.6	5966
25.6	6375
25.6	6495
25.6	6596
25.6	7110
25.6	7207
25.6	7916
25.6	8218
25.6	8386
25.6	8556
25.6	9052
25.6	9106
25.6	9345
25.6	9678
25.6	9697
25.6	10708
25.6	11072
25.6	11272
25.6	11316
25.6	12101
25.6	12252
25.6	12524
25.6	12626
25.6	12765
25.6	12849
25.6	12897
25.6	13010
25.6	13570
25.6	13728
25.6	13779
25.6	14194
25.6	14196
25.6	14214
25.6	14493
25.6	14868
25.6	15105
25.6	15737
25.6	15766
25.6	15800
25.6	15928
25.7	78
25.7	959
25.7	1336
25.7	1682
25.7	1825
25.7	2758
25.7	2807
25.7	2928
25.7	2959
25.7	3053
25.7	3071
25.7	3375
25.7	3665
25.7	3782
25.7	3867
25.7	4007
25.7	4126
25.7	4672
25.7	4743
25.7	4960
25.7	4979
25.7	5133
25.7	5331
25.7	5438
25.7	5639
25.7	6176
25.7	6183
25.7	6256
25.7	6547
25.7	6574
25.7	6686
25.7	6687
25.7	7638
25.7	7756
25.7	9145
25.7	9393
25.7	9513
25.7	9759
25.7	9792
25.7	9838
25.7	9861
25.7	9980
25.7	10196
25.7	10783
25.7	10983
25.7	10990
25.7	11277
25.7	11871
25.7	11929
25.7	12353
25.7	13102
25.7	13505
25.7	13865
25.7	14052
25.7	14130
25.7	14354
25.7	14541
25.7	15489
25.8	217
25.8	364
25.8	615
25.8	640
25.8	844
25.8	1372
25.8	1490
25.8	1508
25.8	1723
25.8	1727
25.8	1823
25.8	1918
25.8	1935
25.8	1975
25.8	2086
25.8	2096
25.8	2136
25.8	2481
25.8	2489
25.8	2718
25.8	2913
25.8	3109
25.8	3131
25.8	3262
25.8	3394
25.8	3626
25.8	3774
25.8	4092
25.8	4708
25.8	4934
25.8	5081
25.8	5648
25.8	5715
25.8	5879
25.8	6241
25.8	6532
25.8	6855
25.8	7281
25.8	7460
25.8	7568
25.8	7903
25.8	8630
25.8	8643
25.8	8960
25.8	9257
25.8	9824
25.8	9912
25.8	10284
25.8	10532
25.8	10984
25.8	11189
25.8	11446
25.8	11628
25.8	11639
25.8	11809
25.8	11965
25.8	12442
25.8	12640
25.8	12666
25.8	12686
25.8	13053
25.8	13129
25.8	13188
25.8	13195
25.8	13497
25.8	13683
25.8	13857
25.8	14007
25.8	14210
25.8	14315
25.8	14486
25.8	14574
25.8	14650
25.8	14761
